epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5769.85,0.65672,0.33397,0.93484,0.9115,0.92728,0.94082,0.64118,0.6289,0.25644,0.95248,0.003367,0.003367,0.003367
69,5854.12,0.65234,0.32844,0.93447,0.90952,0.92548,0.94132,0.64323,0.63049,0.26081,0.9537,0.003268,0.003268,0.003268
70,5938.09,0.65469,0.32972,0.93324,0.90907,0.91947,0.93611,0.6407,0.63337,0.25826,0.95436,0.003169,0.003169,0.003169
71,6022.56,0.65123,0.32689,0.93104,0.90682,0.93221,0.93507,0.63924,0.63213,0.2551,0.95438,0.00307,0.00307,0.00307
72,6106.99,0.64602,0.32686,0.93153,0.91222,0.91001,0.93679,0.64432,0.63324,0.25653,0.9559,0.002971,0.002971,0.002971
73,6190.86,0.6463,0.32471,0.93039,0.91194,0.91623,0.93817,0.65007,0.63406,0.25736,0.95437,0.002872,0.002872,0.002872
74,6275.17,0.64851,0.3281,0.93243,0.90394,0.91757,0.9368,0.65573,0.63128,0.2554,0.95193,0.002773,0.002773,0.002773
75,6359.38,0.63867,0.32194,0.92641,0.90274,0.92931,0.93844,0.65063,0.63532,0.25793,0.95559,0.002674,0.002674,0.002674
76,6443.59,0.64022,0.32126,0.92881,0.88412,0.94369,0.9344,0.64363,0.63723,0.25924,0.95819,0.002575,0.002575,0.002575
77,6527.81,0.64124,0.31923,0.92978,0.88778,0.93895,0.93502,0.64848,0.63492,0.26056,0.95678,0.002476,0.002476,0.002476
78,6612.27,0.6423,0.31904,0.92908,0.90918,0.92746,0.93437,0.6475,0.63609,0.25827,0.95655,0.002377,0.002377,0.002377
79,6696.58,0.63432,0.31778,0.92693,0.90752,0.91904,0.9293,0.64478,0.63614,0.25735,0.9562,0.002278,0.002278,0.002278
80,6780.13,0.63209,0.31324,0.92496,0.90148,0.91877,0.92761,0.64491,0.63706,0.25616,0.95674,0.002179,0.002179,0.002179
81,6864.54,0.63592,0.31558,0.92583,0.90031,0.93358,0.92847,0.64256,0.63595,0.25563,0.95735,0.00208,0.00208,0.00208
82,6948.86,0.6318,0.31555,0.92642,0.90166,0.92161,0.93447,0.64765,0.63655,0.25504,0.95876,0.001981,0.001981,0.001981
83,7032.63,0.62834,0.31483,0.92344,0.89846,0.93787,0.93741,0.649,0.63589,0.25177,0.95799,0.001882,0.001882,0.001882
84,7116.77,0.62319,0.30924,0.92325,0.90702,0.93623,0.9391,0.64924,0.6354,0.25033,0.95902,0.001783,0.001783,0.001783
85,7200.58,0.62313,0.30901,0.9216,0.91379,0.93277,0.94101,0.6453,0.63423,0.24803,0.95888,0.001684,0.001684,0.001684
86,7284.45,0.62095,0.30955,0.92013,0.9209,0.92111,0.94339,0.65287,0.63295,0.24793,0.95806,0.001585,0.001585,0.001585
87,7368.07,0.62056,0.30623,0.92524,0.90647,0.93668,0.94346,0.65325,0.63328,0.24793,0.95676,0.001486,0.001486,0.001486
88,7451.53,0.618,0.30782,0.91797,0.90631,0.93377,0.9415,0.65467,0.6317,0.24845,0.95497,0.001387,0.001387,0.001387
89,7536.36,0.61525,0.30435,0.91785,0.89818,0.92542,0.94162,0.65199,0.63144,0.24844,0.95604,0.001288,0.001288,0.001288
90,7619.8,0.61923,0.30537,0.91915,0.90758,0.92499,0.94112,0.64711,0.63322,0.24804,0.95793,0.001189,0.001189,0.001189
91,7704.36,0.60149,0.28329,0.91838,0.90596,0.92872,0.94354,0.64734,0.63326,0.24806,0.95875,0.00109,0.00109,0.00109
92,7787.27,0.58829,0.27516,0.91372,0.91958,0.91679,0.94444,0.65028,0.63342,0.24806,0.96026,0.000991,0.000991,0.000991
93,7869.61,0.58639,0.27217,0.9134,0.91994,0.91733,0.94297,0.65123,0.63318,0.24778,0.96069,0.000892,0.000892,0.000892
94,7952.21,0.58687,0.26896,0.91232,0.91228,0.9213,0.94064,0.65015,0.63191,0.24624,0.95993,0.000793,0.000793,0.000793
95,8034.31,0.58452,0.27032,0.91103,0.91036,0.92042,0.9416,0.65344,0.63167,0.24632,0.95972,0.000694,0.000694,0.000694
96,8117.15,0.58489,0.26881,0.9131,0.92157,0.90626,0.9391,0.64971,0.63166,0.24618,0.95938,0.000595,0.000595,0.000595
97,8199.57,0.58154,0.26986,0.90861,0.92109,0.90785,0.93968,0.65041,0.63246,0.24556,0.95976,0.000496,0.000496,0.000496
98,8282.04,0.57716,0.26619,0.90793,0.92082,0.90691,0.93994,0.65188,0.63304,0.24523,0.96019,0.000397,0.000397,0.000397
99,8364.62,0.57314,0.26422,0.90806,0.92218,0.90611,0.93931,0.65057,0.63264,0.24482,0.95993,0.000298,0.000298,0.000298
100,8448.53,0.57467,0.26312,0.90579,0.92414,0.90665,0.93853,0.65037,0.63328,0.24522,0.96022,0.000199,0.000199,0.000199
